X	Y	Z
5.28352	-5.2628	-6.50017
7.20705	-7.20752	-7.97729
6.31803	-7.01217	-7.23791
8.85781	-8.85916	-7.31689
8.85355	-8.02384	-8.10509
-8.85331	-7.96631	-6.15981
-8.84617	-7.1867	-6.58835
-7.28107	-8.01653	-4.99155
-6.24926	-8.01459	-5.79285
-4.61178	-6.24008	-7.1949
-7.17166	-5.4357	-7.94374
0.619402	-8.86135	-4.99116
-0.709746	-7.1486	-6.46319
-0.346621	-8.86113	-6.14296
2.80695	-8.86071	-7.33669
2.43594	-8.03894	-3.28383
4.17084	-8.86185	-5.67009
5.76115	-8.86121	-6.68558
7.36472	-8.86134	-5.00461
8.85356	-8.03845	-6.09397
-8.84156	-6.40544	-5.63323
-8.81916	-4.71933	-8.14494
-7.18303	-8.86172	-6.0952
-4.5081	-4.39449	-6.72227
-6.39972	-7.21343	-7.99604
-3.83149	-6.29335	-7.99114
-6.53512	-8.03503	-6.46365
0.58707	-7.99251	-8.85347
2.61999	-4.44727	-5.66273
1.93173	-8.86139	-8.09006
2.74	-8.86118	-5.35633
5.4637	-6.01652	-7.18762
4.64678	-8.86268	-5.1355
7.21377	-8.86167	-8.05631
8.84759	-7.28725	-7.26946
-8.83925	-6.29756	-4.88691
-8.85257	-7.97191	-6.8157
-6.70066	-8.00923	-7.26822
-6.49228	-4.76298	-8.81939
-3.07516	-8.86207	-5.69268
-2.85387	-7.10314	-7.2979
0.986624	-5.97591	-4.50267
0.385047	-8.86171	-6.20493
-3.35543	-8.86087	-7.52522
3.45094	-8.86125	-5.51593
2.75589	-7.24256	-5.59328
5.66345	-7.95223	-7.32842
7.9906	-7.14771	-7.20307
8.85296	-8.02289	-6.77443
8.85614	-8.85849	-5.84394
-8.82145	-4.75232	-6.50946
-8.83448	-5.63671	-7.99265
-6.87608	-4.48332	-8.16592
-7.12707	-8.86146	-7.39435
-5.46782	-6.07781	-7.13383
-2.78089	-5.40919	-7.91658
-2.16977	-5.09946	-5.80098
-2.4719	-7.99515	-6.5443
3.39137	-4.4037	-7.28428
2.56152	-7.1247	-6.40773
4.67307	-6.39247	-7.15125
3.06084	-8.03668	-6.56807
6.43136	-8.86119	-6.74396
8.8259	-4.90428	-7.48273
8.83398	-5.74834	-7.14937
-8.84208	-6.39208	-6.43154
-8.00554	-7.27297	-7.99348
-6.47108	-7.28461	-5.54015
-4.51927	-5.40715	-7.97955
-2.68431	-8.86246	-6.32935
-1.52123	-8.86139	-6.71027
-3.74236	-7.95884	-7.29072
1.41925	-6.31608	-7.98248
0.587553	-7.15067	-7.2243
2.86916	-4.35841	-6.51942
3.87762	-6.07091	-7.19928
5.72886	-8.08613	-5.18102
7.22674	-8.02086	-6.52697
7.96408	-7.20657	-6.44414
8.84714	-7.26873	-6.5149
-8.83128	-5.58216	-6.37198
-6.51952	-8.00488	-5.11175
-6.48809	-5.91818	-5.51714
